City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Porangatu,BR,-13.4408,-49.1486,82.33,25,1,1.77,clear sky
80,Coihaique,CL,-45.5752,-72.0662,35.55,75,100,4.61,overcast clouds
81,Daru,PG,-9.0763,143.2092,75.94,85,100,13.94,overcast clouds
82,Uberaba,BR,-19.7483,-47.9319,82.98,26,0,5.75,clear sky
83,Chalmette,US,29.9427,-89.9634,91.04,65,75,11.5,broken clouds
84,Vila Velha,BR,-20.3297,-40.2925,75.15,73,20,6.91,few clouds
85,Ayr,GB,55.4627,-4.6339,58.32,67,20,8.05,few clouds
86,Gizycko,PL,54.0381,21.7644,60.48,84,100,4.99,overcast clouds
87,Faanui,PF,-16.4833,-151.75,77.58,74,64,10.25,broken clouds
88,Saskylakh,RU,71.9167,114.0833,67.87,80,33,5.37,scattered clouds
89,Changji,CN,44.0167,87.3167,77.79,33,0,6.71,clear sky
90,New Norfolk,AU,-42.7826,147.0587,43.92,85,77,2.8,broken clouds
91,Grindavik,IS,63.8424,-22.4338,54.07,100,100,16.11,overcast clouds
92,Havre,FR,49.5833,0.3333,60.21,77,0,4.61,clear sky
93,Tottori,JP,35.5,134.2333,76.42,85,0,2.82,clear sky
94,Mhango,TZ,-3.2833,32.85,74.62,36,95,6.13,overcast clouds
95,Konevo,RU,62.1215,39.3192,59.38,89,98,4.5,overcast clouds
96,Sola,VU,-13.8833,167.55,80.17,78,30,12.39,scattered clouds
97,Cayenne,GF,4.9333,-52.3333,85.08,22,100,9.22,overcast clouds
98,Mehriz,IR,31.5917,54.4318,91.9,35,100,8.1,overcast clouds
99,Sananduva,BR,-27.9497,-51.8067,63.09,78,10,2.77,clear sky
100,Yinchuan,CN,38.4681,106.2731,73.74,45,100,11.83,overcast clouds
101,Colac,AU,-38.3333,143.5833,49.17,95,95,9.04,overcast clouds
102,Maldonado,UY,-34.6667,-54.9167,63.79,94,98,4.72,overcast clouds
103,Gobabis,NA,-22.45,18.9667,64.29,26,91,7.74,overcast clouds
104,Ilulissat,GL,69.2167,-51.1,50.02,81,75,5.75,broken clouds
105,Sao Mateus,BR,-18.7161,-39.8589,69.8,83,28,5.64,scattered clouds
106,Klaksvik,FO,62.2266,-6.589,52.72,74,87,8.21,overcast clouds
107,Honiara,SB,-9.4333,159.95,79.52,78,73,2.66,moderate rain
108,Korla,CN,41.7597,86.1469,83.03,20,0,4.23,clear sky
109,Katsuura,JP,35.1333,140.3,78.82,90,80,13.35,broken clouds
110,Tuktoyaktuk,CA,69.4541,-133.0374,62.6,67,100,23.02,overcast clouds
111,Shirokiy,RU,49.758,129.523,66.7,94,4,5.3,clear sky
112,Kamaishi,JP,39.2667,141.8833,74.44,92,95,2.84,overcast clouds
113,San Cristobal,VE,7.7669,-72.225,78.98,62,36,5.01,scattered clouds
114,Ayorou,NE,14.7308,0.9174,97.63,30,81,14.99,broken clouds
115,Manicore,BR,-5.8092,-61.3003,94.95,38,0,5.75,clear sky
116,Samarai,PG,-10.6167,150.6667,78.71,85,42,10.16,scattered clouds
117,Cap Malheureux,MU,-19.9842,57.6142,69.48,76,2,1.99,clear sky
118,Brae,GB,60.3964,-1.353,50.13,82,12,9.35,few clouds
119,Nanortalik,GL,60.1432,-45.2371,44.91,91,77,4.25,broken clouds
120,Pincher Creek,CA,49.4833,-113.952,75.65,46,20,4.61,few clouds
121,Dois Corregos,BR,-22.3661,-48.3803,72.32,35,0,3.4,clear sky
122,Karpathos,GR,35.507,27.2132,75.16,83,0,28.77,clear sky
123,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,78,0,14.97,clear sky
124,Jackson,US,42.4165,-122.8345,103.75,24,0,6.91,clear sky
125,Luderitz,NA,-26.6481,15.1594,55.4,83,39,4.43,scattered clouds
126,Norman Wells,CA,65.282,-126.8329,82.44,32,75,6.91,broken clouds
127,Cungrea,RO,44.6667,24.3833,76.91,36,0,3.69,clear sky
128,Khatanga,RU,71.9667,102.5,67.41,55,81,8.86,broken clouds
129,Port Macquarie,AU,-31.4333,152.9167,47.89,66,0,10.42,clear sky
130,Mahebourg,MU,-20.4081,57.7,69.26,88,40,6.91,scattered clouds
131,Palembang,ID,-2.9167,104.7458,77.09,94,20,2.3,few clouds
132,Ixtapa,MX,20.7,-105.2,86.23,74,100,6.91,overcast clouds
133,Hovd,MN,48.0056,91.6419,58.71,40,5,1.99,clear sky
134,Jocon,HN,15.2833,-86.9667,78.35,81,67,1.16,broken clouds
135,Cherskiy,RU,68.75,161.3,46.42,58,5,11.36,clear sky
136,Kapaa,US,22.0752,-159.319,82.72,70,20,18.41,few clouds
137,Yellowknife,CA,62.456,-114.3525,72.12,46,20,6.91,few clouds
138,Atuona,PF,-9.8,-139.0333,77.07,76,9,16.84,light rain
139,Ambilobe,MG,-13.2,49.05,68.83,81,94,3.0,overcast clouds
140,Ponta Do Sol,PT,32.6667,-17.1,79.43,58,4,6.93,clear sky
141,Avera,US,33.194,-82.5271,94.51,32,91,8.52,overcast clouds
142,Mujiayingzi,CN,42.1167,118.7833,67.71,86,72,4.52,broken clouds
143,Vila Franca Do Campo,PT,37.7167,-25.4333,79.2,89,39,5.59,scattered clouds
144,Tiarei,PF,-17.5333,-149.3333,78.82,84,100,13.96,light rain
145,Abu Samrah,SY,35.3029,37.1841,78.82,42,0,7.49,clear sky
