City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mogadishu,SO,75.61,light rain,2.0371,45.3438,Hotel Juba
5,Rikitea,PF,75.34,broken clouds,-23.1203,-134.9692,People ThankYou
6,Sao Joao Da Barra,BR,75.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
7,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,Torbay,CA,74.17,light intensity shower rain,47.6666,-52.7314,Gallows Cove
16,Shimoda,JP,77.11,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
19,Kousseri,CM,79.23,light rain,12.0769,15.0306,Le Pilotis
20,Porto Walter,BR,76.84,overcast clouds,-8.2686,-72.7439,Hotel Silva
25,Malakal,SS,75.04,overcast clouds,9.5334,31.6605,Nile Palace Hotel
28,Georgetown,MY,81.9,thunderstorm,5.4112,100.3354,Cititel Penang
31,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
36,Vaini,TO,73.74,overcast clouds,-21.2,-175.2,Keleti Beach Resort
38,Dengzhou,CN,73.27,broken clouds,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
41,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
42,Tateyama,JP,79.11,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
46,Kimbe,PG,75.67,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
47,Bengkulu,ID,75.36,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
53,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
60,Hithadhoo,MV,80.83,light rain,-0.6,73.0833,Scoop Guest House
62,Jamestown,US,79.52,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
64,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
65,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
68,Hilo,US,87.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
70,Butaritari,KI,82.18,few clouds,3.0707,172.7902,Isles Sunset Lodge
77,Muscat,OM,80.62,light rain,23.6139,58.5922,Mutrah Hotel
79,Porangatu,BR,82.33,clear sky,-13.4408,-49.1486,Wembley Park Hotel
81,Daru,PG,75.94,overcast clouds,-9.0763,143.2092,Daru Lodge
82,Uberaba,BR,82.98,clear sky,-19.7483,-47.9319,Tamareiras Park Hotel
84,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
87,Faanui,PF,77.58,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
89,Changji,CN,77.79,clear sky,44.0167,87.3167,Lvye Holiday Resort
93,Tottori,JP,76.42,clear sky,35.5,134.2333,Hotel Monarque Tottori
96,Sola,VU,80.17,scattered clouds,-13.8833,167.55,Leumerus Bungalows
97,Cayenne,GF,85.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
100,Yinchuan,CN,73.74,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
107,Honiara,SB,79.52,moderate rain,-9.4333,159.95,Heritage Park Hotel
108,Korla,CN,83.03,clear sky,41.7597,86.1469,Gulisitan Hotel
109,Katsuura,JP,78.82,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
112,Kamaishi,JP,74.44,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
113,San Cristobal,VE,78.98,scattered clouds,7.7669,-72.225,Pirineos
116,Samarai,PG,78.71,scattered clouds,-10.6167,150.6667,Nuli Sapi
120,Pincher Creek,CA,75.65,few clouds,49.4833,-113.952,BLUE MOUNTAIN MOTEL
121,Dois Corregos,BR,72.32,clear sky,-22.3661,-48.3803,Hotel Pousada Aquino Paraiso
122,Karpathos,GR,75.16,clear sky,35.507,27.2132,Alex
123,Arraial Do Cabo,BR,73.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
126,Norman Wells,CA,82.44,broken clouds,65.282,-126.8329,Heritage Hotel
131,Palembang,ID,77.09,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
132,Ixtapa,MX,86.23,overcast clouds,20.7,-105.2,hotel la terminal
136,Kapaa,US,82.72,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
137,Yellowknife,CA,72.12,few clouds,62.456,-114.3525,The Explorer Hotel
138,Atuona,PF,77.07,light rain,-9.8,-139.0333,Villa Enata
140,Ponta Do Sol,PT,79.43,clear sky,32.6667,-17.1,Hotel do Campo
143,Vila Franca Do Campo,PT,79.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
144,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
146,Sur,OM,81.09,broken clouds,22.5667,59.5289,Sur Plaza Hotel
148,Half Moon Bay,US,86.54,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
149,Katastarion,GR,82.18,clear sky,37.8333,20.7667,Clio
158,Kavieng,PG,82.45,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
160,Bemidji,US,72.05,overcast clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
162,Bhind,IN,85.39,scattered clouds,26.5642,78.7883,Hotel Kanha Palace and Family Restaurant
165,San Quintin,MX,74.03,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
166,Evanston,US,82.72,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
173,Pacific Grove,US,74.21,clear sky,36.6177,-121.9166,Lovers Point Inn
174,Huangmei,CN,78.4,clear sky,30.1924,116.025,Tianxiachan Hotel
177,Tukrah,LY,79.45,clear sky,32.5341,20.5791,Lagrota restaurant
179,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
180,Dhidhdhoo,MV,81.07,scattered clouds,6.8833,73.1,Dhidhoo beach
181,Meulaboh,ID,74.03,overcast clouds,4.1363,96.1285,Kost Pria
182,Bethel,US,83.35,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
184,Atbasar,KZ,70.63,overcast clouds,51.8,68.3333,Гостиничный Комплекс Saad
185,Nizwa,OM,79.57,overcast clouds,22.9333,57.5333,Orient Apartments
186,Torres,BR,71.83,clear sky,-29.3353,-49.7269,Farol Hotel
187,Garowe,SO,79.74,overcast clouds,8.4054,48.4845,Curubo Hotel
192,Praya,CV,81.14,broken clouds,14.9215,-23.5087,LT Aparthotel
195,Oriximina,BR,86.2,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
201,Puerto Colombia,CO,89.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
202,Ruidoso,US,80.96,overcast clouds,33.3317,-105.673,Inn of the Mountain Gods
203,Westport,US,84.61,clear sky,41.1415,-73.3579,The Westport Inn
204,Caravelas,BR,70.83,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
206,Dawlatabad,AF,87.67,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
207,Ormara,PK,82.9,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
211,Hirara,JP,84.85,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
212,Wajima,JP,76.48,clear sky,37.4,136.9,Wajiima Onsen Yashio
216,Cascais,PT,73.26,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
217,Madang,PG,77.05,light rain,-5.2246,145.7966,Comfort Inn Hotel
218,Cururupu,BR,78.26,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
219,Marsala,IT,84.94,clear sky,37.7966,12.4352,Villa Favorita Hotel e Resort
222,Nishihara,JP,78.08,clear sky,26.1842,127.7558,Minshuku Agaihama
223,Atar,MR,88.65,moderate rain,20.5169,-13.0499,Oumou Elghoura
224,Lapeer,US,82.06,scattered clouds,43.0514,-83.3188,"Holiday Inn Express Lapeer, an IHG Hotel"
226,Seoul,KR,78.4,mist,37.5683,126.9778,LOTTE HOTEL SEOUL
229,Havelock,US,89.58,clear sky,34.8791,-76.9013,Sherwood Motel
230,Istok,XK,81.48,overcast clouds,42.7808,20.4875,Hotel TROFTA
234,Sungairaya,ID,76.8,moderate rain,0.7,108.9,Rumah Kuku Moimoi Shelly
236,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
239,Bucerias,MX,86.99,overcast clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
243,Anqing,CN,77.86,scattered clouds,30.5092,117.0506,Hongtian Hotel
248,Reconquista,AR,77.94,scattered clouds,-29.15,-59.65,Grand Hotel
252,Coari,BR,89.49,broken clouds,-4.085,-63.1414,Dellrey Hotel Center
253,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
255,Popondetta,PG,72.1,broken clouds,-8.7537,148.2534,Timos Transit House
258,Sulangan,PH,83.64,overcast clouds,11.1373,123.7228,Maia's Beach Resort
259,Victoria,HK,86.38,clear sky,22.2855,114.1577,Mini Central
260,Ericeira,PT,73.08,clear sky,38.9627,-9.4156,HOTEL PEDRO O PESCADOR
263,Hambantota,LK,78.62,overcast clouds,6.1241,81.1185,Bungalow 63
268,Lafia,NG,75.36,scattered clouds,8.4833,8.5167,Low Cost Housing Estate
270,Impfondo,CG,70.38,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
271,Aksu,CN,83.8,clear sky,41.1231,80.2644,Pudong Holiday Hotel
273,Palu,ID,75.69,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
274,Dingle,PH,76.33,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
282,Kirksville,US,72.82,overcast clouds,40.1948,-92.5833,Budget Host-Village Inn
